title,content,category,difficulty,questions
"My Little Garden","I have a small garden. It is in front of my house. I plant many flowers there. There are red roses and yellow tulips.
I water them every morning. The sun helps them grow. Bees and butterflies visit my garden. They like the flowers.
I also plant some vegetables. I have tomatoes and carrots. They are healthy and tasty.
Gardening is fun. It makes me happy to see plants grow.","Nature","小学","[{""question"": ""Where is the garden?"", ""options"": [""Behind the house"", ""In front of the house"", ""On the roof"", ""In the park""], ""answer"": ""In front of the house"", ""explanation"": ""文章提到 It is in front of my house。""}, {""question"": ""What flowers are in the garden?"", ""options"": [""Lilies and orchids"", ""Red roses and yellow tulips"", ""Sunflowers"", ""Daisies""], ""answer"": ""Red roses and yellow tulips"", ""explanation"": ""文章提到 There are red roses and yellow tulips。""}, {""question"": ""What visits the garden?"", ""options"": [""Dogs and cats"", ""Birds"", ""Bees and butterflies"", ""Frogs""], ""answer"": ""Bees and butterflies"", ""explanation"": ""文章提到 Bees and butterflies visit my garden。""}, {""question"": ""What vegetables does the writer plant?"", ""options"": [""Potatoes"", ""Tomatoes and carrots"", ""Corn"", ""Peppers""], ""answer"": ""Tomatoes and carrots"", ""explanation"": ""文章提到 I have tomatoes and carrots。""}, {""question"": ""How does gardening make the writer feel?"", ""options"": [""Sad"", ""Tired"", ""Happy"", ""Angry""], ""answer"": ""Happy"", ""explanation"": ""文章提到 It makes me happy。""}]"
"The Picnic","On Sunday, my family went for a picnic. We went to a nice park near a lake. The weather was sunny and warm.
Mom made sandwiches and fruit salad. Dad brought a big blanket. I brought my kite.
We ate lunch under a big tree. The food was delicious. After lunch, I flew my kite. It went very high in the sky.
My sister played with a ball. We had a great time together. We went home in the evening.","Life","小学","[{""question"": ""When did the family go for a picnic?"", ""options"": [""On Saturday"", ""On Sunday"", ""On Monday"", ""On Friday""], ""answer"": ""On Sunday"", ""explanation"": ""文章提到 On Sunday, my family went for a picnic。""}, {""question"": ""Where did they go?"", ""options"": [""To the beach"", ""To a park near a lake"", ""To the mountains"", ""To the zoo""], ""answer"": ""To a park near a lake"", ""explanation"": ""文章提到 We went to a nice park near a lake。""}, {""question"": ""What did Mom make?"", ""options"": [""Pizza"", ""Hamburgers"", ""Sandwiches and fruit salad"", ""Soup""], ""answer"": ""Sandwiches and fruit salad"", ""explanation"": ""文章提到 Mom made sandwiches and fruit salad。""}, {""question"": ""What did the writer do after lunch?"", ""options"": [""Slept"", ""Swam"", ""Flew a kite"", ""Read a book""], ""answer"": ""Flew a kite"", ""explanation"": ""文章提到 After lunch, I flew my kite。""}, {""question"": ""When did they go home?"", ""options"": [""In the morning"", ""At noon"", ""In the afternoon"", ""In the evening""], ""answer"": ""In the evening"", ""explanation"": ""文章提到 We went home in the evening。""}]"
"My favorite color","My favorite color is blue. The sky is blue. The ocean is blue too. Blue makes me feel calm.
I have a blue bike. I ride it to school. My room is painted blue. It looks very nice.
I also like to wear blue clothes. My favorite t-shirt is blue.
Some people like red or green, but I love blue the best.","Life","小学","[{""question"": ""What is the writer's favorite color?"", ""options"": [""Red"", ""Green"", ""Blue"", ""Yellow""], ""answer"": ""Blue"", ""explanation"": ""文章提到 My favorite color is blue。""}, {""question"": ""What two things are mentioned as being blue?"", ""options"": [""Grass and trees"", ""The sky and the ocean"", ""Apples and cherries"", ""Sun and moon""], ""answer"": ""The sky and the ocean"", ""explanation"": ""文章提到 The sky is blue. The ocean is blue too。""}, {""question"": ""How does blue make the writer feel?"", ""options"": [""Sad"", ""Happy"", ""Calm"", ""Energetic""], ""answer"": ""Calm"", ""explanation"": ""文章提到 Blue makes me feel calm。""}, {""question"": ""What blue vehicle does the writer have?"", ""options"": [""A car"", ""A skateboard"", ""A bike"", ""A scooter""], ""answer"": ""A bike"", ""explanation"": ""文章提到 I have a blue bike。""}, {""question"": ""What color is the writer's room?"", ""options"": [""White"", ""Blue"", ""Pink"", ""Green""], ""answer"": ""Blue"", ""explanation"": ""文章提到 My room is painted blue。""}]"
"A Rainy Day","It is raining today. I cannot go outside to play. The sky is gray and dark.
Raindrops fall on the window. Pitter-patter, pitter-patter. It sounds like music.
I stay inside and read a book. My cat sleeps on the sofa. It is warm inside.
I like rainy days sometimes. I can drink hot cocoa and rest.
Tomorrow maybe the sun will shine again.","Nature","小学","[{""question"": ""Why can't the writer go outside?"", ""options"": [""It is too hot"", ""It is raining"", ""It is snowing"", ""It is dark""], ""answer"": ""It is raining"", ""explanation"": ""文章提到 It is raining today. I cannot go outside to play。""}, {""question"": ""What color is the sky?"", ""options"": [""Blue"", ""White"", ""Gray and dark"", ""Red""], ""answer"": ""Gray and dark"", ""explanation"": ""文章提到 The sky is gray and dark。""}, {""question"": ""What does the rain sound like?"", ""options"": [""Noise"", ""Drums"", ""Music"", ""Nothing""], ""answer"": ""Music"", ""explanation"": ""文章提到 It sounds like music。""}, {""question"": ""What does the writer do inside?"", ""options"": [""Watch TV"", ""Read a book"", ""Play games"", ""Cook""], ""answer"": ""Read a book"", ""explanation"": ""文章提到 I stay inside and read a book。""}, {""question"": ""What does the writer drink?"", ""options"": [""Water"", ""Juice"", ""Hot cocoa"", ""Tea""], ""answer"": ""Hot cocoa"", ""explanation"": ""文章提到 I can drink hot cocoa。""}]"
"The Library","My school has a big library. There are many books in it. I like to go there once a week.
The library is very quiet. Students read books or do homework there.
I like storybooks best. I can read about animals, magic, and adventures.
The librarian is Mrs. Green. She is very helpful. She helps me find good books.
Reading makes me smart. I learn many new words.","Life","小学","[{""question"": ""How often does the writer go to the library?"", ""options"": [""Every day"", ""Once a week"", ""Once a month"", ""Never""], ""answer"": ""Once a week"", ""explanation"": ""文章提到 I like to go there once a week。""}, {""question"": ""Is the library noisy?"", ""options"": [""Yes, very noisy"", ""No, very quiet"", ""A little bit"", ""Only at lunch""], ""answer"": ""No, very quiet"", ""explanation"": ""文章提到 The library is very quiet。""}, {""question"": ""What kind of books does the writer like best?"", ""options"": [""Math books"", ""Science books"", ""Storybooks"", ""History books""], ""answer"": ""Storybooks"", ""explanation"": ""文章提到 I like storybooks best。""}, {""question"": ""Who is the librarian?"", ""options"": [""Mr. Smith"", ""Mrs. Green"", ""Mrs. White"", ""Mr. Brown""], ""answer"": ""Mrs. Green"", ""explanation"": ""文章提到 The librarian is Mrs. Green。""}, {""question"": ""Why is reading good?"", ""options"": [""It makes you sleepy"", ""It makes you smart"", ""It is boring"", ""It takes time""], ""answer"": ""It makes you smart"", ""explanation"": ""文章提到 Reading makes me smart。""}]"
"Making a Sandwich","I am hungry. I want to make a sandwich. It is easy to make.
First, I take two slices of bread. Then, I put some cheese on one slice.
I also like ham and lettuce. I put them on the cheese.
Finally, I put the other slice of bread on top. My sandwich is ready!
It tastes very good. I eat it with a glass of milk.","Life","小学","[{""question"": ""What does the writer want to make?"", ""options"": [""A cake"", ""A sandwich"", ""A salad"", ""Soup""], ""answer"": ""A sandwich"", ""explanation"": ""文章提到 I want to make a sandwich。""}, {""question"": ""How many slices of bread are used?"", ""options"": [""One"", ""Two"", ""Three"", ""Four""], ""answer"": ""Two"", ""explanation"": ""文章提到 I take two slices of bread。""}, {""question"": ""What keeps the sandwich together?"", ""options"": [""Glue"", ""Nothing"", ""Gravity"", ""Bread""], ""answer"": ""Bread"", ""explanation"": ""这是推断题，但文章提到 two slices of bread。""}, {""question"": ""What is inside the sandwich?"", ""options"": [""Jam and butter"", ""Cheese, ham, and lettuce"", ""Tomato and onion"", ""Egg and bacon""], ""answer"": ""Cheese, ham, and lettuce"", ""explanation"": ""文章提到 cheese, ham and lettuce。""}, {""question"": ""What does the writer drink with the sandwich?"", ""options"": [""Water"", ""Juice"", ""Milk"", ""Soda""], ""answer"": ""Milk"", ""explanation"": ""文章提到 I eat it with a glass of milk。""}]"
"My Dog Spot","I have a dog named Spot. He has black spots on his white fur. That is why his name is Spot.
Spot is very playful. He likes to run in the park. He chases squirrels.
Spot is smart too. He can sit and shake hands. I teach him tricks.
At night, Spot sleeps in his dog house. He is a good guard dog.
I love my dog very much.","Life","小学","[{""question"": ""Why is the dog named Spot?"", ""options"": [""He is small"", ""He has black spots"", ""He runs fast"", ""He likes spots""], ""answer"": ""He has black spots"", ""explanation"": ""文章提到 He has black spots on his white fur。""}, {""question"": ""What color describes Spot?"", ""options"": [""Brown"", ""Black and white"", ""Gray"", ""Golden""], ""answer"": ""Black and white"", ""explanation"": ""文章提到 black spots on his white fur。""}, {""question"": ""What does Spot chase?"", ""options"": [""Cars"", ""Cats"", ""Squirrels"", ""Balls""], ""answer"": ""Squirrels"", ""explanation"": ""文章提到 He chases squirrels。""}, {""question"": ""What trick can Spot do?"", ""options"": [""Speak"", ""Jump"", ""Sit and shake hands"", ""Roll over""], ""answer"": ""Sit and shake hands"", ""explanation"": ""文章提到 He can sit and shake hands。""}, {""question"": ""Where does Spot sleep?"", ""options"": [""On my bed"", ""In the kitchen"", ""In his dog house"", ""Outside""], ""answer"": ""In his dog house"", ""explanation"": ""文章提到 Spot sleeps in his dog house。""}]"
"Summer Fun","Summer is my favorite season. School is out and I have lots of free time.
I go swimming in the pool. The water is cool and refreshing.
I also eat ice cream. My favorite flavor is chocolate.
In the evening, I catch fireflies. They light up in the dark.
Summer days are long and happy. I wish summer was all year round.","Life","小学","[{""question"": ""Why does the writer like summer?"", ""options"": [""It is cold"", ""School is out"", ""It rains"", ""Lots of homework""], ""answer"": ""School is out"", ""explanation"": ""文章提到 School is out...""}, {""question"": ""Where does the writer swim?"", ""options"": [""In the ocean"", ""In a lake"", ""In the pool"", ""In a river""], ""answer"": ""In the pool"", ""explanation"": ""文章提到 I go swimming in the pool。""}, {""question"": ""What implies the ice cream flavor?"", ""options"": [""Vanilla"", ""Strawberry"", ""Chocolate"", ""Mint""], ""answer"": ""Chocolate"", ""explanation"": ""文章提到 My favorite flavor is chocolate。""}, {""question"": ""What does the writer catch in the evening?"", ""options"": [""Fish"", ""Birds"", ""Fireflies"", ""Butterflies""], ""answer"": ""Fireflies"", ""explanation"": ""文章提到 I catch fireflies。""}, {""question"": ""What does the writer wish?"", ""options"": [""Summer was shorter"", ""Winter was here"", ""Summer was all year round"", ""To go back to school""], ""answer"": ""Summer was all year round"", ""explanation"": ""文章提到 I wish summer was all year round。""}]"
"The Apple Tree","There is an apple tree in my yard. It is very old and tall.
In spring, it has beautiful pink flowers. Bees love the flowers.
In summer, small green apples grow. They get bigger and bigger.
In autumn, the apples turn red. They are sweet and juicy. I pick them with my dad.
Mom makes apple pie. It smells wonderful. I love our apple tree.","Nature","小学","[{""question"": ""Where is the apple tree?"", ""options"": [""In the park"", ""In the yard"", ""At school"", ""In the forest""], ""answer"": ""In the yard"", ""explanation"": ""文章提到 There is an apple tree in my yard。""}, {""question"": ""What color are the flowers in spring?"", ""options"": [""White"", ""Red"", ""Pink"", ""Yellow""], ""answer"": ""Pink"", ""explanation"": ""文章提到 beautiful pink flowers。""}, {""question"": ""When do the apples turn red?"", ""options"": [""Spring"", ""Summer"", ""Autumn"", ""Winter""], ""answer"": ""Autumn"", ""explanation"": ""文章提到 In autumn, the apples turn red。""}, {""question"": ""What does Mom make?"", ""options"": [""Apple juice"", ""Apple salad"", ""Apple pie"", ""Apple jam""], ""answer"": ""Apple pie"", ""explanation"": ""文章提到 Mom makes apple pie。""}, {""question"": ""Who helps pick the apples?"", ""options"": [""Mom"", ""Dad"", ""Sister"", ""Brother""], ""answer"": ""Dad"", ""explanation"": ""文章提到 I pick them with my dad。""}]"
"Learning to Swim","I am learning to swim. My dad is teaching me. We go to the pool every Saturday.
At first, I was afraid of the water. But Dad held my hand.
Now I can float on my back. I can also kick my legs.
Swimming is good exercise. It makes my arms and legs strong.
I want to swim like a fish one day.","Life","小学","[{""question"": ""Who is teaching the writer to swim?"", ""options"": [""A coach"", ""Mom"", ""Dad"", ""A friend""], ""answer"": ""Dad"", ""explanation"": ""文章提到 My dad is teaching me。""}, {""question"": ""When do they go to the pool?"", ""options"": [""Every day"", ""Every Sunday"", ""Every Saturday"", ""Every Friday""], ""answer"": ""Every Saturday"", ""explanation"": ""文章提到 We go to the pool every Saturday。""}, {""question"": ""How did the writer feel at first?"", ""options"": [""Excited"", ""Happy"", ""Afraid"", ""Bored""], ""answer"": ""Afraid"", ""explanation"": ""文章提到 At first, I was afraid of the water。""}, {""question"": ""What can the writer do now?"", ""options"": [""Dive deep"", ""Float on back"", ""Swim across the ocean"", ""Hold breath for 5 minutes""], ""answer"": ""Float on back"", ""explanation"": ""文章提到 Now I can float on my back。""}, {""question"": ""What does the writer want to swim like?"", ""options"": [""A dolphin"", ""A shark"", ""A fish"", ""A frog""], ""answer"": ""A fish"", ""explanation"": ""文章提到 I want to swim like a fish one day。""}]"
